tc_id,library,raw_reads_R1,trim_rate_R1,map_rate_R1,multimap_rate_R1,map_rate_R2,pct_mapped_to_other_library,n_designed_peptides,n_peptides_detected,pct_library_covered,n_dropouts,median_count_detected,gini_own_library
TC_1,CoV,162736486,0.998606581685683,0.9602424595805423,0.017909611145366156,0.9575526646667202,5.022789706746685e-05,6932,6932,1.0,0,20204.0,0.3136099764237871
TC_2,CoV,163593344,0.9988108807165162,0.961781692757962,0.017709871721711172,0.9593591361347815,3.632106410587638e-05,6932,6929,0.9995672244662435,3,20659.0,0.3017607599511041
TC_3,CoV,184619941,0.9987683833134796,0.9585428609484027,0.017520527943209855,0.9574485466148315,2.2127527293464737e-05,6932,6931,0.9998557414887478,1,22898.0,0.30208252374443456
