CoV|H9EJ42.149.BC1	8641
CoV|H9EJ42.149.BC2	27121
CoV|H9EJ42.15.BC1	53758
CoV|H9EJ42.15.BC2	32932
CoV|H9EJ42.150.BC1	13634
CoV|H9EJ42.150.BC2	10811
CoV|H9EJ42.151.BC1	18686
CoV|H9EJ42.151.BC2	19162
CoV|H9EJ42.152.BC1	15198
CoV|H9EJ42.152.BC2	19344
CoV|H9EJ42.153.BC1	9924
CoV|H9EJ42.153.BC2	19698
CoV|H9EJ42.154.BC1	37634
CoV|H9EJ42.154.BC2	14118
CoV|H9EJ42.155.BC1	18665
CoV|H9EJ42.155.BC2	15856
CoV|H9EJ42.156.BC1	6454
CoV|H9EJ42.156.BC2	13321
CoV|H9EJ42.157.BC1	8853
CoV|H9EJ42.157.BC2	19974
CoV|H9EJ42.158.BC1	496
CoV|H9EJ42.158.BC2	8572
CoV|H9EJ42.159.BC1	9681
CoV|H9EJ42.159.BC2	15831
CoV|H9EJ42.16.BC1	12936
CoV|H9EJ42.16.BC2	15775
CoV|H9EJ42.160.BC1	16359
CoV|H9EJ42.160.BC2	8514
CoV|H9EJ42.161.BC1	5199
CoV|H9EJ42.161.BC2	8522
CoV|H9EJ42.162.BC1	35888
CoV|H9EJ42.162.BC2	20764
CoV|H9EJ42.163.BC1	29477
CoV|H9EJ42.163.BC2	14236
CoV|H9EJ42.164.BC1	13595
CoV|H9EJ42.164.BC2	7183
CoV|H9EJ42.165.BC1	19445
CoV|H9EJ42.165.BC2	8562
CoV|H9EJ42.166.BC1	15928
CoV|H9EJ42.166.BC2	6822
CoV|H9EJ42.167.BC1	13390
CoV|H9EJ42.167.BC2	17125
CoV|H9EJ42.168.BC1	35044
CoV|H9EJ42.168.BC2	31492
CoV|H9EJ42.169.BC1	27498
CoV|H9EJ42.169.BC2	27433
CoV|H9EJ42.17.BC1	15101
CoV|H9EJ42.17.BC2	14498
CoV|H9EJ42.170.BC1	14839
CoV|H9EJ42.170.BC2	22952
CoV|H9EJ42.171.BC1	13911
CoV|H9EJ42.171.BC2	11764
CoV|H9EJ42.172.BC1	13394
CoV|H9EJ42.172.BC2	14333
CoV|H9EJ42.173.BC1	18701
CoV|H9EJ42.173.BC2	19695
CoV|H9EJ42.174.BC1	15872
CoV|H9EJ42.174.BC2	9261
CoV|H9EJ42.175.BC1	8560
CoV|H9EJ42.175.BC2	6164
CoV|H9EJ42.176.BC1	13053
CoV|H9EJ42.176.BC2	21815
CoV|H9EJ42.177.BC1	22178
CoV|H9EJ42.177.BC2	15377
CoV|H9EJ42.178.BC1	17072
CoV|H9EJ42.178.BC2	27820
CoV|H9EJ42.179.BC1	43821
CoV|H9EJ42.179.BC2	39576
CoV|H9EJ42.18.BC1	12729
CoV|H9EJ42.18.BC2	10826
CoV|H9EJ42.180.BC1	24643
CoV|H9EJ42.180.BC2	24447
CoV|H9EJ42.181.BC1	22582
CoV|H9EJ42.181.BC2	31160
CoV|H9EJ42.182.BC1	31292
CoV|H9EJ42.182.BC2	32168
CoV|H9EJ42.183.BC1	15166
CoV|H9EJ42.183.BC2	11559
CoV|H9EJ42.184.BC1	21643
CoV|H9EJ42.184.BC2	26979
CoV|H9EJ42.185.BC1	8114
CoV|H9EJ42.185.BC2	37104
CoV|H9EJ42.186.BC1	15585
CoV|H9EJ42.186.BC2	19211
CoV|H9EJ42.187.BC1	12210
CoV|H9EJ42.187.BC2	12507
CoV|H9EJ42.188.BC1	23683
CoV|H9EJ42.188.BC2	15755
CoV|H9EJ42.189.BC1	50278
CoV|H9EJ42.189.BC2	27397
CoV|H9EJ42.19.BC1	13939
CoV|H9EJ42.19.BC2	11694
CoV|H9EJ42.190.BC1	17906
CoV|H9EJ42.190.BC2	3359
CoV|H9EJ42.191.BC1	33400
CoV|H9EJ42.191.BC2	32073
CoV|H9EJ42.192.BC1	14276
CoV|H9EJ42.192.BC2	13949
CoV|H9EJ42.193.BC1	5964
CoV|H9EJ42.193.BC2	19703
CoV|H9EJ42.194.BC1	32838
CoV|H9EJ42.194.BC2	7707
CoV|H9EJ42.195.BC1	12155
CoV|H9EJ42.195.BC2	27294
CoV|H9EJ42.196.BC1	14646
CoV|H9EJ42.196.BC2	23259
CoV|H9EJ42.197.BC1	26735
CoV|H9EJ42.197.BC2	30372
CoV|H9EJ42.198.BC1	6961
CoV|H9EJ42.198.BC2	51561
CoV|H9EJ42.199.BC1	28438
CoV|H9EJ42.199.BC2	13713
CoV|H9EJ42.2.BC1	20485
CoV|H9EJ42.2.BC2	23743
CoV|H9EJ42.20.BC1	9059
CoV|H9EJ42.20.BC2	5490
CoV|H9EJ42.200.BC1	18019
CoV|H9EJ42.200.BC2	16920
CoV|H9EJ42.201.BC1	22984
CoV|H9EJ42.201.BC2	14283
CoV|H9EJ42.202.BC1	27601
CoV|H9EJ42.202.BC2	33676
CoV|H9EJ42.203.BC1	25470
CoV|H9EJ42.203.BC2	33094
CoV|H9EJ42.204.BC1	17855
CoV|H9EJ42.204.BC2	17239
CoV|H9EJ42.205.BC1	8325
CoV|H9EJ42.205.BC2	22931
CoV|H9EJ42.206.BC1	26354
CoV|H9EJ42.206.BC2	32678
CoV|H9EJ42.207.BC1	60400
CoV|H9EJ42.207.BC2	45128
CoV|H9EJ42.208.BC1	20060
CoV|H9EJ42.208.BC2	21082
CoV|H9EJ42.209.BC1	35780
CoV|H9EJ42.209.BC2	18398
CoV|H9EJ42.21.BC1	18266
CoV|H9EJ42.21.BC2	5433
CoV|H9EJ42.210.BC1	35217
CoV|H9EJ42.210.BC2	19416
CoV|H9EJ42.211.BC1	16343
CoV|H9EJ42.211.BC2	29959
CoV|H9EJ42.212.BC1	17661
CoV|H9EJ42.212.BC2	14801
CoV|H9EJ42.213.BC1	49522
CoV|H9EJ42.213.BC2	51602
CoV|H9EJ42.214.BC1	30047
CoV|H9EJ42.214.BC2	27020
CoV|H9EJ42.215.BC1	29068
CoV|H9EJ42.215.BC2	22078
CoV|H9EJ42.216.BC1	8041
CoV|H9EJ42.216.BC2	8652
CoV|H9EJ42.217.BC1	34210
CoV|H9EJ42.217.BC2	21106
CoV|H9EJ42.218.BC1	23581
CoV|H9EJ42.218.BC2	31215
CoV|H9EJ42.219.BC1	21393
CoV|H9EJ42.219.BC2	13570
CoV|H9EJ42.22.BC1	35092
CoV|H9EJ42.22.BC2	27468
CoV|H9EJ42.220.BC1	1819
CoV|H9EJ42.220.BC2	11361
CoV|H9EJ42.221.BC1	11575
CoV|H9EJ42.221.BC2	20441
CoV|H9EJ42.222.BC1	21367
CoV|H9EJ42.222.BC2	14788
CoV|H9EJ42.223.BC1	23535
CoV|H9EJ42.223.BC2	23236
CoV|H9EJ42.224.BC1	17046
CoV|H9EJ42.224.BC2	35785
CoV|H9EJ42.225.BC1	17147
CoV|H9EJ42.225.BC2	4802
CoV|H9EJ42.226.BC1	16564
CoV|H9EJ42.226.BC2	7808
CoV|H9EJ42.227.BC1	8973
CoV|H9EJ42.227.BC2	11476
CoV|H9EJ42.228.BC1	17557
CoV|H9EJ42.228.BC2	12727
CoV|H9EJ42.229.BC1	23879
CoV|H9EJ42.229.BC2	19708
CoV|H9EJ42.23.BC1	19623
CoV|H9EJ42.23.BC2	19287
CoV|H9EJ42.230.BC1	10876
CoV|H9EJ42.230.BC2	24888
CoV|H9EJ42.231.BC1	3521
CoV|H9EJ42.231.BC2	18205
CoV|H9EJ42.232.BC1	18262
CoV|H9EJ42.232.BC2	14962
CoV|H9EJ42.233.BC1	18214
CoV|H9EJ42.233.BC2	10291
CoV|H9EJ42.234.BC1	4851
CoV|H9EJ42.234.BC2	7625
CoV|H9EJ42.235.BC1	14968
CoV|H9EJ42.235.BC2	6158
CoV|H9EJ42.236.BC1	11673
CoV|H9EJ42.236.BC2	12054
CoV|H9EJ42.237.BC1	19479
CoV|H9EJ42.237.BC2	19788
CoV|H9EJ42.238.BC1	15419
CoV|H9EJ42.238.BC2	22103
CoV|H9EJ42.239.BC1	6907
CoV|H9EJ42.239.BC2	13985
CoV|H9EJ42.24.BC1	29579
CoV|H9EJ42.24.BC2	20775
CoV|H9EJ42.25.BC1	14474
CoV|H9EJ42.25.BC2	23231
CoV|H9EJ42.26.BC1	17492
CoV|H9EJ42.26.BC2	26190
CoV|H9EJ42.27.BC1	55454
CoV|H9EJ42.27.BC2	7044
CoV|H9EJ42.28.BC1	38553
CoV|H9EJ42.28.BC2	31990
CoV|H9EJ42.29.BC1	8938
CoV|H9EJ42.29.BC2	19547
CoV|H9EJ42.3.BC1	16379
CoV|H9EJ42.3.BC2	14047
CoV|H9EJ42.30.BC1	18082
CoV|H9EJ42.30.BC2	17850
CoV|H9EJ42.31.BC1	7575
CoV|H9EJ42.31.BC2	5275
CoV|H9EJ42.32.BC1	15255
CoV|H9EJ42.32.BC2	7457
CoV|H9EJ42.33.BC1	18930
CoV|H9EJ42.33.BC2	14887
CoV|H9EJ42.34.BC1	36738
CoV|H9EJ42.34.BC2	30285
CoV|H9EJ42.35.BC1	52164
CoV|H9EJ42.35.BC2	39395
CoV|H9EJ42.36.BC1	42405
